"","Community","chiefOfficial","policyBoard","legislativeBody","city","cityCharter","policySize","legislativeSize","homeRule"
"312","Warwick","TC","Select Board ","OTM",FALSE,NA,"3",NA,NA
"313","Washington","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"314","WATERTOWN ","TM","","Council ",TRUE,NA,NA,"9","1980"
"315","Wayland","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"316","Webster ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1987"
"317","Wellesley","ED","Selectmen ","RTM",FALSE,NA,"5",NA,NA
"318","Wellfleet ","TA","Select Board ","OTM",FALSE,NA,"5",NA,"1986"
"319","Wendell","TC","Select Board ","OTM",FALSE,NA,"3",NA,NA
"320","Wenham","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"321","Westborough ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1974"
"322","West Boylston","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"323","West Bridgewater","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"324","West Brookfield","ES","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"325","WESTFIELD ","Mayor","","Council ",TRUE,"(B)",NA,"13",NA
"326","Westford","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"327","Westhampton","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"328","Westminster","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"329","West Newbury","TM","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"330","Weston","TM","Select Board ","OTM",FALSE,NA,"3",NA,NA
"331","Westport","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"332","WEST SPRINGFIELD (2000",") (A) Mayor","","Council ",TRUE,NA,NA,"9",NA
"333","West Stockbridge","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"334","West Tisbury","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"335","Westwood ","TA","Select Board ","OTM",FALSE,NA,"3",NA,"1970"
"336","WEYMOUTH ","Mayor","","Council ",TRUE,NA,NA,"11","1999"
"337","Whately","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"338","Whitman","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"339","Wilbraham","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"340","Williamsburg","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"341","Williamstown","TM","Select Board ","OTM",FALSE,NA,"5",NA,NA
"342","Wilmington ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1950"
"343","Winchendon ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1981"
"344","Winchester ","TM","Select Board ","RTM",FALSE,NA,"5",NA,"1975"
"345","Windsor","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"346","WINTHROP ","TM","","Council ",TRUE,NA,NA,"9","2005"
"347","WOBURN","Mayor","","Council ",TRUE,NA,NA,"9",NA
"348","WORCESTER","Mayor-Manager","","Council ",TRUE,NA,NA,"11",NA
"349","Worthington","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"350","Wrentham","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"351","Yarmouth","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
